time,Total gas used
2023-06-14 00:00,7216.346
2023-06-14 00:15,7216.346
2023-06-14 00:30,7216.346
2023-06-14 00:45,7216.346
2023-06-14 01:00,7216.346
2023-06-14 01:15,7216.346
2023-06-14 01:30,7216.346
2023-06-14 01:45,7216.367
2023-06-14 02:00,7216.399
2023-06-14 02:15,7216.399
2023-06-14 02:30,7216.399
2023-06-14 02:45,7216.399
2023-06-14 03:00,7216.399
2023-06-14 03:15,7216.399
2023-06-14 03:30,7216.430
2023-06-14 03:45,7216.450
2023-06-14 04:00,7216.450
2023-06-14 04:15,7216.450
2023-06-14 04:30,7216.450
2023-06-14 04:45,7216.450
2023-06-14 05:00,7216.450
2023-06-14 05:15,7216.450
2023-06-14 05:30,7216.450
2023-06-14 05:45,7216.494
2023-06-14 06:00,7216.494
2023-06-14 06:15,7216.494
2023-06-14 06:30,7216.494
2023-06-14 06:45,7216.494
2023-06-14 07:00,7216.494
2023-06-14 07:15,7216.494
2023-06-14 07:30,7216.494
2023-06-14 07:45,7216.515
2023-06-14 08:00,7216.561
2023-06-14 08:15,7216.561
2023-06-14 08:30,7216.561
2023-06-14 08:45,7216.561
2023-06-14 09:00,7216.561
2023-06-14 09:15,7216.561
2023-06-14 09:30,7216.561
2023-06-14 09:45,7216.582
2023-06-14 10:00,7216.582
2023-06-14 10:15,7216.582
2023-06-14 10:30,7216.582
2023-06-14 10:45,7216.582
2023-06-14 11:00,7216.582
2023-06-14 11:15,7216.611
2023-06-14 11:30,7216.611
2023-06-14 11:45,7216.632
2023-06-14 12:00,7216.632
2023-06-14 12:15,7216.632
2023-06-14 12:30,7216.632
2023-06-14 12:45,7216.649
2023-06-14 13:00,7216.704
2023-06-14 13:15,7216.704
2023-06-14 13:30,7216.704
2023-06-14 13:45,7216.726
2023-06-14 14:00,7216.726
2023-06-14 14:15,7216.726
2023-06-14 14:30,7216.726
2023-06-14 14:45,7216.726
2023-06-14 15:00,7216.726
2023-06-14 15:15,7216.726
2023-06-14 15:30,7216.726
2023-06-14 15:45,7216.747
2023-06-14 16:00,7216.747
2023-06-14 16:15,7216.747
2023-06-14 16:30,7216.789
2023-06-14 16:45,7216.789
2023-06-14 17:00,7216.789
2023-06-14 17:15,7216.789
2023-06-14 17:30,7216.789
2023-06-14 17:45,7216.805
2023-06-14 18:00,7216.809
2023-06-14 18:15,7216.809
2023-06-14 18:30,7216.809
2023-06-14 18:45,7216.809
2023-06-14 19:00,7216.809
2023-06-14 19:15,7216.809
2023-06-14 19:30,7216.809
2023-06-14 19:45,7216.861
2023-06-14 20:00,7216.861
2023-06-14 20:15,7216.861
2023-06-14 20:30,7216.861
2023-06-14 20:45,7216.975
2023-06-14 21:00,7216.978
2023-06-14 21:15,7216.999
2023-06-14 21:30,7216.999
2023-06-14 21:45,7216.999
2023-06-14 22:00,7216.999
2023-06-14 22:15,7217.033
2023-06-14 22:30,7217.037
2023-06-14 22:45,7217.037
2023-06-14 23:00,7217.037
2023-06-14 23:15,7217.059
2023-06-14 23:30,7217.059
2023-06-14 23:45,7217.059
2023-06-15 00:00,7217.059
2023-06-15 00:15,7217.059
2023-06-15 00:30,7217.059
2023-06-15 00:45,7217.059
2023-06-15 01:00,7217.059
2023-06-15 01:15,7217.104
2023-06-15 01:30,7217.104
2023-06-15 01:45,7217.104
2023-06-15 02:00,7217.104
2023-06-15 02:15,7217.104
2023-06-15 02:30,7217.104
2023-06-15 02:45,7217.104
2023-06-15 03:00,7217.104
2023-06-15 03:15,7217.152
2023-06-15 03:30,7217.166
2023-06-15 03:45,7217.166
2023-06-15 04:00,7217.166
2023-06-15 04:15,7217.166
2023-06-15 04:30,7217.166
2023-06-15 04:45,7217.166
2023-06-15 05:00,7217.166
2023-06-15 05:15,7217.191
2023-06-15 05:30,7217.191
2023-06-15 05:45,7217.191
2023-06-15 06:00,7217.191
2023-06-15 06:15,7217.213
